,player,DRAPM,ORAPM,Total_RAPM
456,Amaya Dowdy,-3.2254,-2.9721,-6.1975
457,Amaya Evans,-2.1057,-3.6758,-5.7814
458,Amaya Ford,0.2454,-0.0024,0.243
459,Amaya Hamilton,2.7878,3.8978,6.6857
460,Amaya Harris,2.0298,-0.4452,1.5846
461,Amaya Oliver,2.0518,1.9522,4.0041
462,Amaya Smith,-0.8831,-1.565,-2.4482
463,Amaya Staton,3.0218,1.8763,4.8982
464,Amaya Stewart,-0.008,-1.9064,-1.9144
465,Amaya Williams,-0.2566,2.3208,2.0642
466,Ambah Kowcun,-0.0532,3.4432,3.39
467,Amber Brown,0.7073,-0.1788,0.5286
468,Amber Bullard,0.2552,-0.7048,-0.4496
469,Amber Howard,-0.3779,-1.003,-1.3809
470,Amber Kartchner,-0.7802,-0.6817,-1.4619
471,Amber Scalia,0.1896,5.1513,5.3409
472,Amber Scott,0.8767,0.7948,1.6715
473,Amber Tretter,2.7473,2.3718,5.1192
474,Amberly Brown,-1.4519,-2.2301,-3.682
475,Amelia Hassett,3.8266,7.088,10.9146
476,Amelia Hobson,1.6364,0.5845,2.2208
477,Amelia Osgood,0.0459,1.9163,1.9622
478,Amelia Pfeiffer,1.1767,-0.3254,0.8513
479,Amelia Raidaveta,-0.0569,-2.4692,-2.5261
480,Amelia Sandie,0.4229,0.0988,0.5217
481,Amelia Scharpf,2.146,0.1646,2.3106
482,Amelia Strong,0.4799,1.3142,1.7941
483,Amelia Wood,3.271,-0.6125,2.6585
484,Amelie Sitterud,-0.065,1.0438,0.9788
485,Amellia Bromenschenkel,2.9043,4.2244,7.1287
486,Amhyia Moreland,2.098,4.4955,6.5936
487,Amiah Hargrove,1.4807,7.867,9.3477
488,Amiah Simmons,-2.5824,3.9477,1.3654
489,Amiaya Morgan,-2.855,-1.1163,-3.9713
490,Amina Gray,-0.9814,0.8729,-0.1085
491,Amina Kameric,-1.175,-3.892,-5.067
492,Amina Muhammad,0.0806,3.2998,3.3805
493,Aminata Diakite,-2.2242,-1.3502,-3.5744
494,Aminata Hernandez,-0.2327,-0.406,-0.6387
495,Aminata Ly,3.4976,0.847,4.3446
496,Aminata Tal,-0.3511,-2.376,-2.7271
497,Aminata Zie,-0.8119,-0.4024,-1.2143
498,Amira Brown,0.8999,-0.8287,0.0713
499,Amira Mabry,-1.614,0.0651,-1.549
500,Amira Ofunniyin,1.3151,-2.1878,-0.8727
501,Amira Williams,2.4224,1.2785,3.7009
502,Amirah Abdur-Rahim,2.0737,0.43,2.5037
503,Amirah Allen,-0.3599,-1.0909,-1.4508
504,Amirah Anderson,-2.1255,2.2289,0.1034
505,Amiya Carroll,-0.5522,-1.8181,-2.3703
506,Amiya Evans,1.4528,-3.6256,-2.1728
507,Amiya Hopkins,0.3761,-0.3237,0.0524
508,Amiya Jenkins,0.1267,-0.8221,-0.6955
509,Amiya Joyner,2.3581,7.2168,9.5748
510,Amiyah Buchanan,2.8873,-0.228,2.6593
511,Amiyah Donaldson,3.9959,-1.8656,2.1302
512,Amiyah Ferguson,-4.787,-5.4624,-10.2494
513,Amiyah Lloyd,0.2895,-0.2092,0.0803
