,player,DRAPM,ORAPM,Total_RAPM
317,Alisa Blalock,-2.8657,0.3858,-2.4799
318,Alisa Knight,-0.6045,-0.1136,-0.7181
319,Alisa Williams,1.5755,6.0422,7.6177
320,Alisha Murray,1.376,0.169,1.5449
321,Alisha Peavy,-1.6637,-0.1205,-1.7842
322,Alisha Wilson,4.3211,2.4751,6.7962
323,Alissa Dins,2.0198,1.7479,3.7677
324,Alissa Pili,1.0006,8.3078,9.3084
325,Alivia Cox,0.0714,-0.4589,-0.3875
326,Alivia Landy,1.0869,0.9442,2.0311
327,Alivia Stephens-Kirkman,-0.2767,-0.1877,-0.4644
328,Aliya McIver,-2.4546,-0.9281,-3.3827
329,Aliyah Collins,-4.6075,1.7517,-2.8558
330,Aliyah Green,0.9427,1.1568,2.0995
331,Aliyah Matharu,1.5542,7.3643,8.9185
332,Aliyahna Morris,1.311,0.9537,2.2647
333,Alize Tripp,-1.9101,0.5753,-1.3348
334,Allasia Washington,1.7706,6.1287,7.8993
335,Alli Campbell,0.5214,5.3218,5.8433
336,Alli Carlson,-1.645,0.1668,-1.4782
337,Alli Dioli,-2.3361,0.0646,-2.2716
338,Alli Harness,-2.5934,-1.7573,-4.3506
339,Alliance Ndiba,2.204,5.0443,7.2483
340,Allie Craig Cruce,-1.9953,1.366,-0.6293
341,Allie Cummins,-4.6867,1.3712,-3.3155
342,Allie Hueckman,-0.0383,-0.3566,-0.3949
343,Allie Kubek,-0.4332,3.582,3.1488
344,Allie McGinn,-2.1904,-0.8399,-3.0303
345,Allie Meadows,-1.0216,3.8351,2.8134
346,Allie Palmieri,0.4032,1.9564,2.3596
347,Allie Sykes,-3.3494,0.404,-2.9454
348,Allie Turner,0.3544,7.2973,7.6517
349,Allie Tylka,-3.4103,-0.8964,-4.3067
350,Allie Ziebell,1.0964,6.3322,7.4286
351,Allison Basye,-0.8006,0.6122,-0.1884
352,Allison Cannon,-0.5942,1.043,0.4488
353,Allison Clarke,-2.0037,2.4184,0.4147
354,Allison Heathcock,-0.352,1.5458,1.1938
355,Allison LaPoint,-0.1145,0.6624,0.5479
356,Allison Rickman,-0.4244,-0.6792,-1.1036
357,Allison Schwertner,-2.4774,1.2647,-1.2127
358,Allison Weidner,2.814,0.5918,3.4058
359,Ally Becki,3.3369,8.5157,11.8526
360,Ally Carman,-0.5003,-2.1931,-2.6934
361,Ally Criddle,0.3921,0.9331,1.3252
362,Ally Fitzgerald,0.2253,-0.4599,-0.2346
363,Ally Hollifield,0.0544,0.9487,1.0031
364,Ally Knights,1.9618,0.4217,2.3835
365,Ally Lovisolo,0.0725,-1.9631,-1.8906
366,Ally Schimel,-0.9164,4.8202,3.9038
367,Ally Sentance,-0.1128,-0.5189,-0.6316
368,Ally Stedman,-1.3157,2.9082,1.5925
369,Ally Sweeney,1.7884,5.6821,7.4704
370,Ally Timm,-1.4297,2.3012,0.8716
371,Ally VanTimmeren,0.1938,0.4517,0.6456
372,Allysan Tse,-0.0706,-1.4724,-1.543
373,Allyson Fertig,1.5202,6.8511,8.3713
374,Allyson Ross,0.352,-0.5507,-0.1987
375,Allyzee Verdan,-1.7563,-1.3943,-3.1506
376,Alma Elsnitz,0.279,-0.2609,0.0181
377,Alma Rashelbach,-0.4442,0.5716,0.1274
378,Alondra Lizama,-4.7927,0.7442,-4.0485
379,Alonna Poole,-0.4949,0.0537,-0.4412
380,Alonna Sellers,0.9775,-0.4811,0.4964
