,player,DRAPM,ORAPM,Total_RAPM,team
379,Ben Schwieger,1.5451,3.9522,5.4973,UNI
380,Ben Vander Wal,-2.6104,2.8841,0.2737,Furman
381,Ben Waller,-1.673,-0.6595,-2.3326,UC Riverside
382,Ben Wesson,0.073,-0.3486,-0.2756,Vermont
383,Ben Woodward,-0.2611,-0.6057,-0.8669,George Mason
384,Bencao Vungo,1.4306,-0.7157,0.7149,Jacksonville State
385,Bendji Pierre,-0.847,-0.0126,-0.8596,Mercer
386,Benjamin Ahmed,-1.5997,1.7443,0.1446,Oklahoma State
387,Benjamin Winker,-1.2213,-0.2209,-1.4421,Cal St. Fullerton
388,Bennett Stirtz,1.3003,10.7255,12.0259,Iowa
389,Benny Gealer,-0.0096,5.3518,5.3421,Stanford
390,Bentley Waller,-2.2654,-1.4599,-3.7253,CSU Bakersfield
391,Berke Buyuktuncel,3.8804,1.6757,5.5562,Nebraska
392,Bhan Buom,-0.4276,0.4009,-0.0268,Boise State
393,Biggie Patterson,-0.6942,1.0575,0.3633,Hofstra
394,Biko Johnson,-0.5515,2.0372,1.4857,Idaho
395,Billy Rayer,-0.9614,-0.1761,-1.1375,Saint Joseph's
396,Billy Richmond,1.6832,4.4389,6.1221,Arkansas
397,Billy Smith,-3.7699,0.7415,-3.0284,Chattanooga
398,Bishop Boswell,2.2174,3.0316,5.249,Tennessee
399,Blair Thompson,-3.1384,3.2753,0.1368,Columbia
400,Blaise Keita,0.7174,0.4051,1.1225,Western Ky.
401,Blaize Sagna,0.0271,-0.7492,-0.7221,Southeast Mo. St.
402,Blake Barkley,-2.786,3.9297,1.1437,ETSU
403,Blake Buchanan,1.3666,4.6663,6.0329,Iowa State
404,Blake Daberkow,-0.967,0.8677,-0.0993,Idaho State
405,Blake Fagbemi,-0.7133,-0.1182,-0.8314,Illinois
406,Blake Harper,-0.2331,2.5929,2.3599,Creighton
407,Blake Muschalek,0.1897,-0.8676,-0.6779,Auburn
408,Blue Cain,-0.4273,8.4249,7.9976,Georgia
409,Bobby Durkin,-0.6079,3.8967,3.2888,Minnesota
410,Bobby Montgomery,-0.7664,-1.17,-1.9364,UTEP
411,Boden Kapke,-0.0148,0.9041,0.8893,Boston College
412,Boden Skunberg,-2.8968,2.0109,-0.8859,Illinois State
413,Bodey Howell,-0.6099,-1.0077,-1.6176,Rice
414,Bol Agu,-1.6928,0.0913,-1.6014,Saint Peter's
415,Bol Dengdit,-0.7334,2.2209,1.4875,UC San Diego
416,Boogie Fland,3.0462,5.7079,8.7541,Florida
417,Boopie Miller,-0.5541,8.6242,8.07,SMU
418,Boston Harker,0.8315,-0.5216,0.3099,Utah Tech
