,player,DRAPM,ORAPM,Total_RAPM,team
545,Ashley Hopper,0.2119,-0.1187,0.0933,La Salle
546,Ashley Iiams,-0.5193,0.5753,0.056,Drake
547,Ashley Malone,1.0031,0.0082,1.0113,Nicholls
548,Ashley O'Connor,0.2941,-0.7605,-0.4664,Bucknell
549,Ashley Owusu,-0.4932,2.9246,2.4314,Penn State
550,Ashley Panem,-0.0595,-0.6946,-0.7541,Northern Colo.
551,Ashley Scoggin,1.2941,1.6222,2.9163,UNLV
552,Ashley Sofilkanich,2.5813,-1.8178,0.7636,Bucknell
553,Ashley Thoms,1.3587,-1.1038,0.2549,Hawaii
554,Ashley Tudor,1.2321,-0.6108,0.6213,Marshall
555,Ashlon Jackson,2.2173,-0.7087,1.5086,Duke
556,Ashlyn Jones,1.8974,-0.9611,0.9363,Louisiana
557,Ashlyn Sage,-0.6078,1.4023,0.7946,Oral Roberts
558,Ashlyn Traylor-Walker,1.4338,-0.1713,1.2625,Radford
559,Ashlyn Wallace,0.0609,-0.485,-0.4241,Idaho
560,Ashlyn Watkins,3.8434,3.1162,6.9596,South Carolina
561,Ashlyn Zhang,-0.0412,-0.1582,-0.1995,Rice
562,Ashlynn Brooke,-0.8936,0.2936,-0.6,Ball State
563,Ashlynn Shade,4.0246,4.7838,8.8085,UConn
564,Ashton Adamson,-1.4932,-1.5373,-3.0304,Weber State
565,Ashton Elley,-0.4718,3.2901,2.8183,UAB
566,Ashton Judd,0.3221,0.4975,0.8196,Missouri
567,Ashton McCorry,-1.0924,-1.6206,-2.713,UTRGV
568,Asia Avinger,1.6438,1.8175,3.4613,Georgia
569,Asia Barclay,2.0579,-0.8911,1.1668,Jacksonville State
570,Asia Boone,-0.4373,2.337,1.8997,Liberty
571,Asia Donald,-0.7271,-0.4575,-1.1846,Indiana State
572,Asia Todd,-0.4525,0.9142,0.4616,UCF
573,Asiah Baxter,-0.6197,0.4675,-0.1522,Ohio
574,Asiana Britt,0.8411,-0.886,-0.0449,Jacksonville
575,Asianae Nicholson,-0.1394,-1.561,-1.7004,Alabama A&M
576,Asjah Inniss,1.7219,-1.4474,0.2745,George Washington
577,Aspen Caldwell,1.4114,-1.5776,-0.1662,Idaho
578,Aspen Johnson,0.5457,0.6931,1.2388,Mercer
579,Aspen Salazar,-0.822,0.6823,-0.1397,UTEP
580,Aspen Thornton,0.4548,1.7874,2.2422,Abilene Christian
581,Asta Blauenfeldt,-0.6121,-0.2072,-0.8192,Seattle U
582,Astera Tuhina,1.2304,1.8818,3.1122,Washington State
583,Atalia Ballesteros,0.8642,1.8645,2.7287,SFA
584,Athina Lexa,-0.3049,0.1417,-0.1632,Canisius
585,Atiana Williams,0.343,0.1229,0.466,James Madison
586,Aubrey Blankenship,0.947,-0.0525,0.8944,Samford
587,Aubrey Griffin,1.5669,2.1692,3.736,UConn
588,Aubrey Joens,1.0452,0.9482,1.9933,Oklahoma
589,Aubrie Kierscht,0.7357,0.4657,1.2014,Presbyterian
590,Audi Crooks,0.7055,4.3455,5.051,Iowa State
591,Audia Young,0.248,0.0451,0.2932,Auburn
592,Audra Emmerson,2.4482,0.4008,2.849,Purdue Fort Wayne
593,Audrey Deptula,-0.8664,1.2137,0.3473,Loyola Chicago
594,Audrey Ericksen,-1.0373,0.4018,-0.6355,Boston U.
595,Audrey Fuller,0.8708,-0.6635,0.2072,Campbell
596,Audrey Koch,-0.0848,-0.1951,-0.2799,Providence
597,Audrey Kormann,0.1477,-0.4022,-0.2545,NJIT
598,Audrey Meyers,-1.4882,-1.4285,-2.9167,Western Caro.
599,Audrey Roden,1.7246,1.0956,2.8202,Nevada
600,Audrey Taylor,0.5494,-0.5274,0.022,Northern Ariz.
601,Autumn Smith,-0.345,-0.6355,-0.9805,Louisiana Tech
602,Autumn Westmoreland,-1.5652,0.0602,-1.505,Queens (NC)
603,Ava Gugliuzza,-1.7153,-1.4597,-3.1751,SIUE
604,Ava Hawthorne,-1.0362,0.5741,-0.4621,Drake
605,Ava Interrante,-0.4125,-2.8661,-3.2786,Valparaiso
606,Ava Learn,0.5677,2.3097,2.8774,Murray State
607,Ava Leroux,0.7625,-1.2824,-0.5199,Elon
608,Ava McGee,0.9489,0.8242,1.7731,Boston College
609,Ava Owens,0.16,-2.6625,-2.5024,Merrimack
610,Ava Schmidt,0.2957,0.0141,0.3098,Northern Ariz.
611,Ava Sciolla,0.681,0.4654,1.1464,Columbia
612,Ava Sollenne,-0.7518,-2.5816,-3.3334,Quinnipiac
613,Ava Stoller,-1.6776,0.2833,-1.3943,SIUE
614,Ava Therien,-1.0213,0.5464,-0.475,Loyola Maryland
615,Ava Uhrich,0.135,1.4481,1.5831,Southern Utah
616,Avari Berry,2.9357,-0.236,2.6996,Southeastern La.
617,Avery Bang,0.5943,-0.1963,0.398,Northern Colo.
