,player,DRAPM,ORAPM,Total_RAPM
483,Anouar Mellouk,-1.6925,-0.8424,-2.5349
484,Anquan Boldin,0.962,-2.6901,-1.7281
485,Anquan Hill,-0.3722,2.4767,2.1045
486,Ansley Almonor,-0.6526,1.9645,1.312
487,Anson Beard,0.0602,-0.067,-0.0068
488,Ant Abraham,1.395,1.0536,2.4486
489,Antallah Sandlin'El,-1.9314,-1.2433,-3.1747
490,Antavion Collum,1.6012,-0.7661,0.8351
491,Ante Beljan,3.1234,1.2619,4.3853
492,Ante Brzovic,1.8636,3.523,5.3866
493,Anthon McDermott,1.109,-1.0049,0.1041
494,Anthony Alston,1.3276,0.2921,1.6198
495,Anthony Arrington,0.138,-0.3816,-0.2436
496,Anthony Batson,0.5557,-1.2464,-0.6907
497,Anthony Benard,-1.6928,-0.4552,-2.148
498,Anthony Bittar,-3.062,-0.5922,-3.6542
499,Anthony Blunt,2.2473,2.9916,5.2389
500,Anthony Clayton,-0.4512,-0.532,-0.9833
501,Anthony Crump,0.9413,-2.3343,-1.3929
502,Anthony Davis,-1.7451,-3.1639,-4.909
503,Anthony Dell'Orso,1.0463,5.1776,6.2239
504,Anthony Doppler,-0.0885,0.3621,0.2736
505,Anthony Enoh,-0.4076,-2.1065,-2.5141
506,Anthony Finkley,3.2508,2.6002,5.851
507,Anthony Gause,2.7205,-1.0405,1.68
508,Anthony Holland,-0.9215,2.096,1.1745
509,Anthony Isaac,-1.575,2.1323,0.5573
510,Anthony Johnson,-0.853,1.5574,0.7044
511,Anthony Leal,5.1679,1.7641,6.932
512,Anthony Martinez,0.0957,-0.7649,-0.6692
513,Anthony Maxwell,2.6069,-0.5618,2.0451
514,Anthony McCall,5.2069,2.994,8.2009
515,Anthony McComb,-1.4192,-1.7645,-3.1837
516,Anthony Morales,0.4864,-2.7859,-2.2995
517,Anthony Nimani,0.0303,3.1778,3.208
518,Anthony Peoples,2.9136,0.3435,3.2571
519,Anthony Phillips,-0.9905,-0.8738,-1.8643
520,Anthony Pritchard,2.5572,-0.2147,2.3425
521,Anthony Rise,0.2809,-0.5346,-0.2537
522,Anthony Roberts,4.1138,0.3237,4.4375
