,player,DRAPM,ORAPM,Total_RAPM
445,Andrew Mayock,-0.1128,-0.0102,-0.123
446,Andrew McConnell,-2.5036,-0.0228,-2.5264
447,Andrew McKeever,1.2762,3.7965,5.0727
448,Andrew McKenna,0.1017,-0.0491,0.0526
449,Andrew Meadow,-3.1566,6.7563,3.5997
450,Andrew Morgan,-1.536,0.8361,-0.6999
451,Andrew Nagy,-1.93,0.4373,-1.4926
452,Andrew Okafor,-0.3583,-0.1012,-0.4595
453,Andrew Osasuyi,1.9979,1.5372,3.535
454,Andrew Patnode,-0.0132,-1.0297,-1.0429
455,Andrew Phillips,-3.5112,2.6681,-0.843
456,Andrew Rohde,-1.338,3.2155,1.8775
457,Andrew Sineway,-0.185,0.3921,0.2071
458,Andrew Taylor,-0.3298,0.8603,0.5305
459,Andrew Welage,-0.8681,3.8321,2.9639
460,Andrew Wells,-0.6115,-0.6855,-1.297
461,Andrew Younan,-0.5322,0.2484,-0.2838
462,Andrija Bukumirovic,-3.4544,5.3301,1.8756
463,Andrija Grbovic,-0.3428,1.4673,1.1244
464,Andrija Jelavic,0.2624,2.4918,2.7542
465,Andrija Vukovic,-0.4943,2.7911,2.2968
466,Andrin Njock,-0.8149,0.7912,-0.0237
467,Andy Barba,-0.3127,-0.7469,-1.0596
468,Andy Christos,-0.4676,-0.3275,-0.7951
469,Andy Johnson,-0.5097,2.8315,2.3218
470,Andy Sigiscar,1.0031,0.01,1.0131
471,Andy Stefonowicz,-1.0886,5.5829,4.4943
472,Aneek Patil,-0.2017,0.051,-0.1507
473,Angel Montas,-3.1534,2.0898,-1.0636
474,Angelo Brizzi,-3.2572,4.285,1.0278
475,Angelo Ciaravino,0.6897,4.6978,5.3875
476,Angelo Kambala,-3.6485,-1.4189,-5.0674
477,Angelo Stuart,-2.2896,-0.1798,-2.4693
478,Angelo Winkel,0.6043,-2.0137,-1.4094
479,Angok Anyang,-1.9583,-1.3656,-3.3239
480,Anias Futrell,-2.2337,3.2931,1.0594
481,Aniwaniwa Tait-Jones,1.1865,9.1511,10.3376
482,Annor Boateng,0.0293,-1.8383,-1.809
483,Anouar Mellouk,-4.0475,0.0788,-3.9686
484,Anquan Boldin,-1.8038,-0.6312,-2.435
485,Anquan Hill,-3.4368,4.5295,1.0927
486,Ansley Almonor,-3.3993,4.2652,0.8659
487,Anson Beard,-0.0575,0.0234,-0.0341
488,Ant Abraham,-0.8198,-0.1377,-0.9576
489,Antallah Sandlin'El,-1.5356,-0.5285,-2.064
490,Antavion Collum,-0.5536,0.4359,-0.1177
491,Ante Beljan,-0.1269,0.223,0.0961
492,Ante Brzovic,-0.2328,5.1224,4.8897
493,Anthon McDermott,0.257,-0.1695,0.0875
494,Anthony Alston,0.4741,-0.4435,0.0306
495,Anthony Arrington,-2.6989,-0.0441,-2.743
496,Anthony Batson,0.5178,-2.3315,-1.8137
497,Anthony Benard,-3.9865,-1.6228,-5.6093
498,Anthony Bittar,-3.3464,-2.0972,-5.4436
499,Anthony Blunt,-0.9812,1.9657,0.9844
500,Anthony Clayton,-0.4096,-0.3292,-0.7388
501,Anthony Crump,-0.7226,-2.6212,-3.3438
502,Anthony Davis,-1.5514,-2.2531,-3.8045
503,Anthony Dell'Orso,-1.4522,7.7129,6.2606
504,Anthony Doppler,-1.6424,-1.301,-2.9433
505,Anthony Enoh,-2.3485,-1.4504,-3.7989
506,Anthony Finkley,0.5053,2.3163,2.8216
507,Anthony Gause,0.1248,-2.5029,-2.3781
508,Anthony Holland,-0.8697,2.3912,1.5215
509,Anthony Isaac,-4.5184,2.4708,-2.0476
510,Anthony Johnson,-1.3377,3.5851,2.2474
